paths	winner	count
1234567	1	7
123456879	1	9
123456897	1	9
1234569	1	7
123457689	1	9
123457698	0	9
123457869	1	9
123457896	0	9
1234579	1	7
123458679	1	9
123458697	1	9
1234587	1	7
1234589	1	7
123459678	0	9
123459687	1	9
1234597	1	7
123459867	1	9
123459876	0	9
12346578	2	8
123465798	0	9
123465879	1	9
123465897	0	9
1234659	1	7
123467589	1	9
123467598	0	9
123467859	1	9
123467895	0	9
1234679	1	7
123468579	1	9
123468597	1	9
12346875	2	8
123468795	1	9
1234689	1	7
123469578	0	9
123469587	1	9
123469758	0	9
123469785	1	9
123469857	0	9
123469875	0	9
12347568	2	8
123475698	0	9
12347586	2	8
123475896	0	9
12347596	2	8
12347598	2	8
1234765	1	7
12347685	2	8
123476895	1	9
12347695	2	8
123476985	1	9
1234785	1	7
12347865	2	8
123478695	1	9
12347895	2	8
123478965	1	9
1234795	1	7
123479658	0	9
123479685	1	9
123479856	0	9
123479865	1	9
123485679	1	9
123485697	0	9
12348576	2	8
123485796	0	9
12348596	2	8
123485976	1	9
123486579	1	9
123486597	1	9
12348675	2	8
123486795	1	9
12348695	2	8
123486975	1	9
123487569	1	9
123487596	0	9
123487659	1	9
123487695	0	9
123487956	1	9
123487965	1	9
123489567	1	9
123489576	0	9
123489657	0	9
123489675	0	9
123489756	0	9
123489765	1	9
1234956	1	7
12349576	2	8
12349578	2	8
12349586	2	8
123495876	1	9
1234965	1	7
12349675	2	8
123496785	1	9
12349685	2	8
123496875	1	9
1234975	1	7
1234976	1	7
123497856	1	9
123497865	1	9
1234985	1	7
1234986	1	7
12349875	2	8
123498765	1	9
1235467	1	7
123546879	0	9
123546897	1	9
123546978	0	9
12354698	2	8
12354768	2	8
123547698	0	9
123547869	0	9
123547896	0	9
123547968	0	9
12354798	2	8
123548	2	6
123549678	0	9
12354968	2	8
1235497	1	7
123549867	1	9
123549876	0	9
12356478	2	8
123564798	0	9
123564879	1	9
123564897	0	9
1235649	1	7
12356748	2	8
123567498	0	9
123567849	1	9
123567894	0	9
1235679	1	7
123568	2	6
123569478	0	9
12356948	2	8
123569748	0	9
12356978	2	8
123569847	0	9
123569874	0	9
12357468	2	8
123574698	0	9
12357486	2	8
123574896	0	9
12357496	2	8
12357498	2	8
1235764	1	7
12357684	2	8
123576894	1	9
12357694	2	8
12357698	2	8
123578	2	6
1235794	1	7
123579648	0	9
12357968	2	8
123579846	0	9
123579864	1	9
123584679	1	9
123584697	0	9
12358476	2	8
123584796	0	9
12358496	2	8
123584976	1	9
123586479	0	9
123586497	1	9
12358674	2	8
123586794	1	9
12358694	2	8
123586974	0	9
123587469	0	9
123587496	0	9
123587649	1	9
123587694	0	9
123587946	1	9
123587964	0	9
123589467	1	9
123589476	0	9
123589647	0	9
123589674	0	9
123589746	0	9
123589764	1	9
1235946	1	7
12359476	2	8
12359478	2	8
12359486	2	8
123594876	1	9
123596478	0	9
12359648	2	8
12359674	2	8
12359678	2	8
12359684	2	8
123596874	0	9
123597468	0	9
12359748	2	8
1235976	1	7
123597846	1	9
123597864	0	9
123598	2	6
1236457	1	7
123645879	0	9
123645897	1	9
123645978	0	9
12364598	2	8
123647589	1	9
123647598	0	9
123647859	0	9
123647895	0	9
123647958	0	9
123647985	1	9
123648579	1	9
123648597	1	9
1236487	1	7
12364895	2	8
123648975	1	9
123649578	0	9
123649587	1	9
1236497	1	7
123649857	1	9
